puzzle,solution,clue_count,id
900016045700002036000470000029081000000000000300000060094000000008003000600900000,982316745745892136136475982429681357861537429357249861594128673218763594673954218,23,3618572
090200060823104009000057832058000900104009085007002100009025008380000000002800094,795238461823164759416957832258341976134679285967582143649725318381496527572813694,35,2847850
930401500000500009870009001058000000040853020600047053490700000000002604283690010,932461578164578239875239461358926147741853926629147853496715382517382694283694715,35,2863669
008201000102000980500039020000490761004010005700050040089000000300000010021500000,938241576142765983567839124853492761294617835716358249489126357375984612621573498,29,3234818
000000070000000000000000003000809000000500000000002000340210008261900400000304620,413628579759431862682795143124869357896573214537142986345216798261987435978354621,20,3778843
503000070000417000041830020300040810078500402000001000630004080800000040090008200,583692174269417358741835926356249817178563492924781635632974581815326749497158263,30,3156925
008020010006050704350070000004700000780003045000010090600000908140090050000030000,478926513926351784351478269514789632789263145263514897635147928147892356892635471,27,3344425
901020450000090000000043000008610000100004080000000000000280600000007090000900820,981726453435198276267543918598612734126374589743859162359281647812467395674935821,22,3625902
700000102538012000004007085851624739400000018903158264095201476182706003000593821,769835142538412697214967385851624739426379518973158264395281476182746953647593821,51,1849507
000000001430000000000598000004000000002000004000003000003000000000300506500040020,895734261437162895261598437314256978652879314978413652123685749749321586586947123,17,3974865
056003089000562173010480502090206340601347058704058210000820000160000020580030094,256173489948562173317489562895216347621347958734958216479825631163794825582631794,44,2309887
230000070004300000000000000000090000040020900000000000050000704490000020800900000,231689475574312869968745132612897543345126987789453216153268794497531628826974351,17,3998337
100040000000760000700105008000502010500300000000006205010008092680097150000001800,152843967834769521796125348968572413527314689341986275415638792683297154279451836,28,3287007
675924831429318657813576492796432185158697243234851769947283516382165974561749320,675924831429318657813576492796432185158697243234851769947283516382165974561749328,80,37007
123860957579123406864509312790238560230640170645791823012306745457910638386450291,123864957579123486864579312791238564238645179645791823912386745457912638386457291,69,741368
010750006004010207752694018507936821936128745128040639089200564405380070270465983,813752496694813257752694318547936821936128745128547639389271564465389172271465983,59,1369787
000400230000000400700200000000060000000009060000302009000003000480007000000040007,591478236326951478748236951859764312132589764674312589267193845485627193913845627,18,3915003
243516090615897243790040610906704002407250086102689437520160009001970024309420860,243516798615897243798342615986734152437251986152689437524168379861973524379425861,56,1553868
040072050080904010700500090060057003070003126034200000017000069096780000403609801,649172358385964712721538694162857943578493126934216587817345269296781435453629871,37,2738669
000000000000700000000020000000040500280307009370009020030000000000080003028000900,912834675843765291756921384691248537284357169375619428437596812569182743128473956,19,3846809
000009470000040560040600009000000090200000700000301000000096000096100000130407006,652819473819743562743652189371264895264985731985371624427596318596138247138427956,24,3557675
060000200000028300800600004000702000000000000000001000000000043020000000005070060,563417289741928356892635174154792638279863415386541927917286543628354791435179862,17,3988647
000040000040000020657001004503000040900010350000080090700000002000000000000000000,291348765348657129657291834583976241976412358412583697735169482169824573824735916,19,3848480
900000010006400003007801004090000001018006025000000009371000500000200000000003000,942375618186429753537861294694532871718946325253187469371698542869254137425713986,23,3598576
030000040000540760000700090000007400000000000000005000000354800000000000040000120,736298541289541763514763298653987412978412635421635987192354876867129354345876129,18,3934887
000030900000200000087000600000008003008000290000100004071000000800000000000000057,426837915159246738387519642912468573648375291735192864571924386863751429294683157,18,3910927
000000000000081002005300000370000200400000700000000000100000500000000001050010076,263479158794581632815326947376948215489152763521637894132764589647895321958213476,17,3984921
831654729564927183297381456312468597975132864648795231706219348129843675483576912,831654729564927183297381456312468597975132864648795231756219348129843675483576912,80,3308
