puzzle,solution,clue_count,id
000060000400005690007008100000300000000000000089004700890043000000000000000000080,215967348438215697967438125672389514154672839389154762896543271721896453543721986,18,3890741
300007000001000627002000500000000060106000000000001000900305000520016000617800000,354267918891453627762198543439572861186934752275681394948325176523716489617849235,23,3576445
503020001008060000700000006000780000000036509600000010800100000001000080050078000,563927841418365972729814356295781463187436529634592718872143695341659287956278134,23,3592838
080000005000000002200000004000900000102058040000000001000003009050000000000206003,483792165516834792279165834734921658192658347865347921621583479358479216947216583,18,3894310
005002900801000302000000050010000089000000020000009060000000000000000200560000000,645372918891456372237918456416523789978164523352789164729841635184635297563297841,17,3967886
000003820000500000000000000000890000007400210300000000104200000700000000090300000,459163827872549631613782495261897354987435216345621978134276589726958143598314762,17,3992489
000000306270301000000000090000030040500000002080000000000400009003000001090000000,845279316279361854361845297127536948536984172984127563612453789453798621798612435,17,3952843
000000020000080500600042800490000000816070900000090006008000000004000000160007090,381756429249183567657942831493618752816275943572394186938561274724839615165427398,22,3679854
109000000802000000000009000000003060651908000000000000007050000506000720000807603,169482537842735916375619284498273165651948372723561849287356491536194728914827653,22,3645448
081000300000021900000050102004060030000002000000000000000000050900030020000010009,281749365563821974479653182714965238695382417832174596127496853946538721358217649,19,3821126
001090000245030090006200000020100080009000020000020000000018002008060300000007000,731896245245731896896245731523179684179684523684523179357918462918462357462357918,22,3640684
504000000000060000000050200000500000400008010053000800000006500000000000800037000,534972168792861453681354279268513947479628315153749826347296581926185734815437692,17,3961260
008006200070000000000020801000000000000000100000200300000100000005002700060008500,158496273372581946649723851583914627726835194491267385837159462915642738264378519,17,3945860
000001007590020000600900000000000070700000004000000680000006000000000000470002030,238461957597328461641957328863514279729683514154279683982136745316745892475892136,17,3938191
060009105000580000010306907200000004409007000850400002907000000003000000020030400,364729185792581643518346927271865394439217568856493712947152836683974251125638479,26,3416195
090070005080001620054902030000206073600090040739100060000005200001700000900038100,296873415387541629154962738418256973625397841739184562843615297561729384972438156,32,3024479
000009000900060080146000500000005000080000610000000000004000050010000000092000700,728539461953461287146287539239615874487392615561874392674928153315746928892153746,18,3887434
000300000094200560000000080400020035261030809305008620920000000500800310000700090,812365974794281563653479182489126735261537849375948621928613457547892316136754298,30,3151633
007000000000000700300257000000000201000400300000010000024006000006030000105000008,257849136849361725361257984478693251512478369693512847724986513986135472135724698,19,3835474
000000000072000409004000308840000000000000004030000090000904700000003000060002000,583491267672385419194276358841629573926537184735148692318964725257813946469752831,18,3906810
400000000000000020000000060008000000040059300000008000000000900060001043000800750,486572139193486527572193468318647295647259381259318674834765912765921843921834756,17,3990947
100009072000000000000410903510600307000002000004080201000006005300520000050001030,145369872639278514728415963512694387873152496964783251491836725386527149257941638,26,3432332
260000008003800000050000000502670004000080090010000006005900000000300000000000000,269734158743815962851296347592673814637481295418529736125967483976348521384152679,18,3925876
000000000500980204000050000000000000200000000050000060003006000060040300098300000,819234657576981234342657981637195428284763195951428763723516849165849372498372516,17,3940780
359876021067421395412395876108502609524639107603187540736218954201950760905763218,359876421867421395412395876178542639524639187693187542736218954281954763945763218,69,724373
180020000000000000405000009050000000000000064000003000000070010600009500900005000,189524736736981425425637189851462397397158264264793851548276913672319548913845672,17,3981841
000000328150800670238900514813602740070081096920000183682700031000000060001260050,769415328154823679238976514813692745475381296926547183682759431597134862341268957,43,2322126
030000020190002400020000090060105000000000000000000051000000600800000000010050000,438619725196572438725843196364195287951728364287436951579284613842361579613957842,17,3941082
918576243234981576007003980821769005090435802453812700689350124375124698042690307,918576243234981576567243981821769435796435812453812769689357124375124698142698357,65,969424
